sesion,capitulo,titulo,slide_concepto,slide_desarrollo,slide_ejemplo,seccion,fuente,industria,archivo
00-preparacion,1,Ruta de preparación,1,2,3,Ruta de estudio y resultados,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/README.md,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,2,API y LLM: qué puedes verificar,4,5,6,Fundamentos §1,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,3,Generación token a token,7,8,9,Fundamentos §2,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,MercaSur,00-preparacion-editable-v2.pptx
00-preparacion,4,Tokens: unidades del texto,10,11,12,Fundamentos §3,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,AndesMóvil,00-preparacion-editable-v2.pptx
00-preparacion,5,Contexto: presupuesto por llamada,13,14,15,Fundamentos §4 · A,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,Banco Inti,00-preparacion-editable-v2.pptx
00-preparacion,6,Dónde vive la conversación,16,17,18,Fundamentos §4 · B,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,MercaSur,00-preparacion-editable-v2.pptx
00-preparacion,7,Temperatura y variación,19,20,21,Fundamentos §5,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,Andina Seguros,00-preparacion-editable-v2.pptx
00-preparacion,8,Alucinación: plausible y falsa,22,23,24,Fundamentos §6 · A,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,Andina Seguros,00-preparacion-editable-v2.pptx
00-preparacion,9,Tres defensas complementarias,25,26,27,Fundamentos §6 · B,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,Banco Inti,00-preparacion-editable-v2.pptx
00-preparacion,10,Embeddings: representación vectorial,28,29,30,Fundamentos §7 · A,https://github.com/javierrosado/ariwalab-course-langchain/blob/27c24090f1662f9473b673d2020e7bffee04490b/00-preparacion/conceptos-previos/fundamentos-llm.md,MercaSur,00-preparacion-editable-v2.pptx
